,0
0,0
1,13
2,0
3,1
4,13
5,13
6,29
7,4
8,0
9,26
10,6
11,2
12,8
13,12
14,6
15,15
16,28
17,8
18,9
19,1
20,0
21,1
22,30
23,11
24,7
25,0
26,20
27,26
28,2
29,3
30,27
31,21
32,28
33,17
34,0
35,2
36,10
37,0
38,17
39,19
40,0
41,4
42,1
43,6
44,22
45,24
46,25
47,3
48,5
49,3
