,0
0,-4.733554805655387
1,-0.062469368633532585
2,-0.2693789297279743
3,-0.0651533930606597
4,-0.08443480919789573
5,-0.01230375754214598
6,-0.005742780313513999
7,-0.007043444669201249
8,-0.005861487221838747
9,-0.0027938014004767198
10,-0.0019174706878546458
11,-0.0025079070398776483
12,-0.0015507298894817858
13,-0.0010047099737921228
14,-0.0013984895030188897
15,-0.002676161223352929
16,-0.001462752468293558
17,-0.002129705809338203
18,-0.002314501180466204
19,-0.002834597317827008
20,-0.002376496509668354
21,-0.002310302132322903
22,-0.002316602173469945
23,-0.00310181813220467
24,-0.0018945233711939638
25,-0.0017156008785746192
26,-0.0016633812608120994
27,-0.00318366588764063
28,-0.0024665462328471287
29,-0.0012762987994714902
30,-0.0020543720946687776
31,-0.0017007782826000753
32,-0.0014363282504611472
33,-0.0011482149841120504
34,-0.0008576212164759789
35,-0.0010670715923183673
36,-0.0015974783620706957
37,-0.0013003960369751075
38,-0.0008576031608697483
39,-0.0006885000905505652
40,-0.0009525924701105117
41,-0.0007107679181929047
42,-0.0005258877888778893
43,-0.0005522703865422206
44,-0.0008607417482218785
45,-0.0006714808457953733
46,-0.0012550191145437803
47,-0.00046601301942823803
48,-0.00044210205188890614
